fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento_txt,overflow
2023-04-10,0.96,10.3,0.0,NO,0
2023-04-11,0.88,10.6,0.0,NO,0
2023-04-12,0.83,10.7,6.2,NO,0
2023-04-13,0.82,10.6,0.0,NO,0
2023-04-14,0.83,10.4,0.0,NO,0
2023-04-15,0.84,10.2,0.0,NO,0
2023-04-16,0.85,10.2,0.0,NO,0
2023-04-17,0.89,10.2,0.0,NO,0
2023-04-18,0.96,10.6,0.0,NO,0
2023-04-19,0.96,10.6,0.0,NO,0
2023-04-20,0.96,10.2,0.0,NO,0
2023-04-21,0.96,10.3,1.0,NO,0
2023-04-22,0.97,10.3,0.0,NO,0
2023-04-23,0.97,10.3,9.2,NO,0
2023-04-24,0.98,10.3,0.8,NO,0
2023-04-25,0.97,10.3,0.0,NO,0
2023-04-26,0.97,10.3,0.0,NO,0
2023-04-27,0.98,10.3,0.0,NO,0
2023-04-28,0.98,10.3,0.0,NO,0
2023-04-29,0.98,10.3,0.6,NO,0
2023-04-30,0.97,9.2,0.0,NO,0
2023-05-01,0.92,6.2,0.0,NO,0
2023-05-02,0.92,6.2,0.0,NO,0
2023-05-03,0.92,6.2,0.0,NO,0
2023-05-04,0.92,6.2,0.0,NO,0
2023-05-05,0.92,6.2,0.0,NO,0
2023-05-06,0.92,6.2,0.2,NO,0
2023-05-07,0.92,6.2,0.0,NO,0
2023-05-08,0.92,5.9,0.0,NO,0
2023-05-09,0.92,4.6,3.0,NO,0
2023-05-10,0.93,6.2,0.2,NO,0
2023-05-11,0.92,6.2,0.2,NO,0
